Name,Access_Source__c,Account_Path__c,Actionability_Score__c,Aggregatable__c,Bucketing_Strategy__c,Business_Concept__c,Canonical_Field_Key__c,Cardinality_Suitability_Score__c,Classification_Basis__c,Cohort_Dimension_Type__c,Cohort_Suitability_Score__c,Cohort_Suitable__c,Controllability_Score__c,Coverage_Pct__c,Direction_Hypothesis__c,Distinct_Count__c,Earliest_Date__c,Eligibility_Status__c,Exclusion_Reason__c,Explainability_Score__c,Field_Label__c,Field_Type__c,Grain__c,Last_Profiled_At__c,Latest_Date__c,Leakage_Risk_Score__c,Measurement_Concepts__c,Metric_Archetypes__c,Observation_Type__c,Origin_System__c,Peer_Group_Utility_Score__c,Populated_Count__c,Predictive_Prior_Score__c,Primary_Source_Role__c,Primary_Theme__c,Profile_Summary__c,Provenance_Role__c,Reference_Evidence__c,Sample_Values__c,Secondary_Themes__c,Source_Confidence_Score__c,Source_Field__c,Source_Object__c,Source_Roles__c,Stability_Prior_Score__c,Windowable__c
Account.DunsNumber,salesforce,Account.Id,0.25,True,PROFILE_CARDINALITY_BEFORE_USE,D-U-N-S Number,salesforce:Account:DunsNumber,0.25,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=GROUPING;FILTER | recommended_use=SEGMENT;FILTER,CATEGORICAL_REVIEW,0.35,False,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,D-U-N-S Number,string,Account,,,0.1,,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.35,,0.5,PROFILE_INPUT,,,PROFILE / CRM SOURCE,,,,0.85,DunsNumber,Account,PROFILE_INPUT,0.7,False
Account.Fax,salesforce,Account.Id,0.25,False,NONE,Account Fax,salesforce:Account:Fax,0.05,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=CONTEXT | recommended_use=REVIEW,NOT_RECOMMENDED,0.05,False,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Account Fax,phone,Account,,,0.1,,,CATEGORY_OR_TEXT,salesforce,0.05,,0.5,PROFILE_INPUT,,,PROFILE / CRM SOURCE,,,,0.85,Fax,Account,PROFILE_INPUT,0.5,False
Account.Geo_Name__c,salesforce,Account.Id,0.25,True,PROFILE_CARDINALITY_BEFORE_USE,Geo Name,salesforce:Account:Geo_Name__c,0.25,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=GROUPING;FILTER | recommended_use=SEGMENT;FILTER,CATEGORICAL_REVIEW,0.35,False,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Geo Name,string,Account,,,0.1,,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.35,,0.5,PROFILE_INPUT,,,PROFILE / CRM SOURCE,historical_recipe_count=1; signal=0; no_signal=1; examples=Geo cohort; recipe_keys=HIST_SFDC_EAC114457A0E4C92923B | historical_prior_average=0.45,,,0.85,Geo_Name__c,Account,PROFILE_INPUT,0.7,False
Account.Id,salesforce,Account.Id,0.05,False,,Account ID,salesforce:Account:Id,0,Identifier; linkage/context only unless explicitly approved. | final_usage=IDENTIFIER | final_roles=IDENTIFIER | recommended_use=CONTEXT_OR_JOIN_ONLY,,0,False,0.5,,CONTEXT_DEPENDENT,,,REVIEW,,0.2,Account ID,id,Account,,,0.2,,,CATEGORY_OR_TEXT,salesforce,0,,0.1,IDENTIFIER,,,IDENTIFIER,,,,0.6,Id,Account,IDENTIFIER,0,False
Account.Industry,salesforce,Account.Id,0.25,True,DIRECT_CATEGORY_WITH_MIN_COHORT_SIZE,Industry,salesforce:Account:Industry,0.9,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=GROUPING;FILTER | recommended_use=SEGMENT;FILTER,CATEGORICAL,0.95,True,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Industry,picklist,Account,,,0.1,,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.95,,0.5,PROFILE_INPUT,,,PROFILE / CRM SOURCE,,,,0.85,Industry,Account,PROFILE_INPUT;COHORT_DIMENSION,0.9,False
Account.IsDeleted,salesforce,Account.Id,0.25,True,DIRECT_CATEGORY_AFTER_PROFILE,Deleted,salesforce:Account:IsDeleted,0.65,Account-level profile/cohort prior. | final_usage=SYSTEM_METADATA | final_roles=SYSTEM_METADATA | recommended_use=IGNORE,CATEGORICAL,0.7,True,0.5,,CONTEXTUAL,,,EXCLUDE,Salesforce system metadata; not business-source evidence.,0.6,Deleted,boolean,Account,,,0.1,,RATE;STATE_SHARE,EVENT_FLAG,salesforce,0.7,,0.5,IGNORE,,,PROFILE / CRM SOURCE,,,,0.85,IsDeleted,Account,SYSTEM_METADATA,0.8,False
Account.Jigsaw,salesforce,Account.Id,0.25,True,PROFILE_CARDINALITY_BEFORE_USE,Data.com Key,salesforce:Account:Jigsaw,0.25,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=GROUPING;FILTER | recommended_use=SEGMENT;FILTER,CATEGORICAL_REVIEW,0.35,False,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Data.com Key,string,Account,,,0.1,,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.35,,0.5,PROFILE_INPUT,,,PROFILE / CRM SOURCE,,,,0.85,Jigsaw,Account,PROFILE_INPUT,0.7,False
Account.JigsawCompanyId,salesforce,Account.Id,0.25,True,PROFILE_CARDINALITY_BEFORE_USE,Jigsaw Company ID,salesforce:Account:JigsawCompanyId,0.25,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=GROUPING;FILTER | recommended_use=SEGMENT;FILTER,CATEGORICAL_REVIEW,0.35,False,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Jigsaw Company ID,string,Account,,,0.1,,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.35,,0.5,PROFILE_INPUT,,,PROFILE / CRM SOURCE,,,,0.85,JigsawCompanyId,Account,PROFILE_INPUT,0.7,False
Account.Last_Login_Date__c,salesforce,Account.Id,0.25,True,DERIVE_SEMANTIC_INTERVAL_FIRST,Last Login Date,salesforce:Account:Last_Login_Date__c,0.2,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=BUSINESS_DATE;WINDOW | recommended_use=RECENCY;WINDOW,DATE_DERIVED_REVIEW,0.3,False,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Last Login Date,date,Account,,,0.1,TIME_RECENCY;PRODUCT_USAGE,RECENCY;DURATION,TIMEPOINT,salesforce,0.3,,0.5,PROFILE_INPUT,TIME,,PROFILE / CRM SOURCE,historical_recipe_count=2; signal=1; no_signal=1; examples=Days Since Last LogIn | Days Since Last Log-In; recipe_keys=HIST_SFDC_C856BEF68B56EC33A6B4;HIST_SFDC_51A5107A94F0AECE0FB3 | historical_prior_average=0.6,,PRODUCT_SERVICE,0.85,Last_Login_Date__c,Account,PROFILE_INPUT,0.7,False
Account.LastActivityDate,salesforce,Account.Id,0.25,True,DERIVE_SEMANTIC_INTERVAL_FIRST,Last Activity,salesforce:Account:LastActivityDate,0.2,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=BUSINESS_DATE;WINDOW | recommended_use=RECENCY;WINDOW,DATE_DERIVED_REVIEW,0.3,False,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Last Activity,date,Account,,,0.1,PEOPLE_ENGAGEMENT;TIME_RECENCY,RECENCY;DURATION,TIMEPOINT,salesforce,0.3,,0.5,PROFILE_INPUT,TIME,,PROFILE / CRM SOURCE,,,PEOPLE,0.85,LastActivityDate,Account,PROFILE_INPUT,0.7,False
Account.LastModifiedById,salesforce,Account.Id,0.25,True,NONE,Last Modified By ID,salesforce:Account:LastModifiedById,0.1,Account-level profile/cohort prior. | final_usage=SYSTEM_METADATA | final_roles=SYSTEM_METADATA | recommended_use=IGNORE,NOT_RECOMMENDED,0.1,False,0.5,,CONTEXTUAL,,,EXCLUDE,Salesforce system metadata; not business-source evidence.,0.6,Last Modified By ID,reference,Account,,,0.1,,COUNT;TRANSITION,RELATIONSHIP,salesforce,0.1,,0.5,IGNORE,,,PROFILE / CRM SOURCE,,,,0.85,LastModifiedById,Account,SYSTEM_METADATA,0.5,False
Account.LastModifiedDate,salesforce,Account.Id,0.25,True,DERIVE_SEMANTIC_INTERVAL_FIRST,Last Modified Date,salesforce:Account:LastModifiedDate,0.2,Account-level profile/cohort prior. | final_usage=SYSTEM_DATE | final_roles=SYSTEM_METADATA;SYSTEM_DATE | recommended_use=DO_NOT_USE_AS_BUSINESS_TIME,DATE_DERIVED_REVIEW,0.3,False,0.5,,CONTEXTUAL,,,EXCLUDE,Salesforce system metadata; not business-source evidence.,0.6,Last Modified Date,datetime,Account,,,0.1,,RECENCY;DURATION,TIMEPOINT,salesforce,0.3,,0.5,IGNORE,TIME,,PROFILE / CRM SOURCE,,,,0.85,LastModifiedDate,Account,SYSTEM_DATE,0.7,False
Account.LastReferencedDate,salesforce,Account.Id,0.25,True,DERIVE_SEMANTIC_INTERVAL_FIRST,Last Referenced Date,salesforce:Account:LastReferencedDate,0.2,Account-level profile/cohort prior. | final_usage=SYSTEM_METADATA | final_roles=SYSTEM_METADATA | recommended_use=IGNORE,DATE_DERIVED_REVIEW,0.3,False,0.5,,CONTEXTUAL,,,EXCLUDE,Salesforce system metadata; not business-source evidence.,0.6,Last Referenced Date,datetime,Account,,,0.1,,RECENCY;DURATION,TIMEPOINT,salesforce,0.3,,0.5,IGNORE,TIME,,PROFILE / CRM SOURCE,,,,0.85,LastReferencedDate,Account,SYSTEM_METADATA,0.7,False
Account.LastViewedDate,salesforce,Account.Id,0.25,True,DERIVE_SEMANTIC_INTERVAL_FIRST,Last Viewed Date,salesforce:Account:LastViewedDate,0.2,Account-level profile/cohort prior. | final_usage=SYSTEM_METADATA | final_roles=SYSTEM_METADATA | recommended_use=IGNORE,DATE_DERIVED_REVIEW,0.3,False,0.5,,CONTEXTUAL,,,EXCLUDE,Salesforce system metadata; not business-source evidence.,0.6,Last Viewed Date,datetime,Account,,,0.1,,RECENCY;DURATION,TIMEPOINT,salesforce,0.3,,0.5,IGNORE,TIME,,PROFILE / CRM SOURCE,,,,0.85,LastViewedDate,Account,SYSTEM_METADATA,0.7,False
Account.MasterRecordId,salesforce,Account.Id,0.25,True,NONE,Master Record ID,salesforce:Account:MasterRecordId,0.1,Account-level profile/cohort prior. | final_usage=SYSTEM_METADATA | final_roles=SYSTEM_METADATA | recommended_use=IGNORE,NOT_RECOMMENDED,0.1,False,0.5,,CONTEXTUAL,,,EXCLUDE,Salesforce system metadata; not business-source evidence.,0.6,Master Record ID,reference,Account,,,0.1,,COUNT;TRANSITION,RELATIONSHIP,salesforce,0.1,,0.5,IGNORE,,,PROFILE / CRM SOURCE,,,,0.85,MasterRecordId,Account,SYSTEM_METADATA,0.5,False
Account.Mintigo_Score__c,salesforce,Account.Id,0.25,True,QUANTILES_OR_BUSINESS_BANDS,Mintigo Score,salesforce:Account:Mintigo_Score__c,0.65,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=MEASURE | recommended_use=AGGREGATE,NUMERIC_BAND,0.65,True,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Mintigo Score,double,Account,,,0.1,,TREND;VARIABILITY,MEASURE,salesforce,0.65,,0.5,PROFILE_INPUT,,,PROFILE / CRM SOURCE,historical_recipe_count=2; signal=2; no_signal=0; examples=mintigo score | mintigo score; recipe_keys=HIST_SFDC_63366CE8304BD8D34465;HIST_SFDC_63366CE8304BD8D34465 | historical_prior_average=0.75,,,0.85,Mintigo_Score__c,Account,PROFILE_INPUT;COHORT_DIMENSION,0.8,False
Account.NaicsCode,salesforce,Account.Id,0.25,True,PROFILE_CARDINALITY_BEFORE_USE,NAICS Code,salesforce:Account:NaicsCode,0.25,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=GROUPING;FILTER | recommended_use=SEGMENT;FILTER,CATEGORICAL_REVIEW,0.35,False,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,NAICS Code,string,Account,,,0.1,,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.35,,0.5,PROFILE_INPUT,,,PROFILE / CRM SOURCE,,,,0.85,NaicsCode,Account,PROFILE_INPUT,0.7,False
Account.NaicsDesc,salesforce,Account.Id,0.25,True,NONE,NAICS Description,salesforce:Account:NaicsDesc,0.05,Account-level profile/cohort prior. | final_usage=UNSTRUCTURED_TEXT | final_roles=TEXT | recommended_use=SEMANTIC_EXTRACTION_OR_CONTEXT,NOT_RECOMMENDED,0.05,False,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,NAICS Description,string,Account,,,0.1,,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.05,,0.5,PROFILE_INPUT,,,PROFILE / CRM SOURCE,,,,0.85,NaicsDesc,Account,PROFILE_INPUT,0.5,False
Account.Name,salesforce,Account.Id,0.25,True,PROFILE_CARDINALITY_BEFORE_USE,Account Name,salesforce:Account:Name,0.25,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=GROUPING;FILTER | recommended_use=SEGMENT;FILTER,CATEGORICAL_REVIEW,0.35,False,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Account Name,string,Account,,,0.1,,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.35,,0.5,PROFILE_INPUT,,,PROFILE / CRM SOURCE,,,,0.85,Name,Account,PROFILE_INPUT,0.7,False
Account.New_Account_Owner__c,salesforce,Account.Id,0.25,True,PROFILE_CARDINALITY_BEFORE_USE,New Account Owner,salesforce:Account:New_Account_Owner__c,0.25,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=GROUPING;FILTER;PEOPLE_DIMENSION | recommended_use=SEGMENT;FILTER,CATEGORICAL_REVIEW,0.35,False,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,New Account Owner,string,Account,,,0.1,PEOPLE_OWNERSHIP,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.35,,0.5,PROFILE_INPUT,PEOPLE,,PROFILE / CRM SOURCE,,,,0.85,New_Account_Owner__c,Account,PROFILE_INPUT,0.7,False
Account.NumberOfEmployees,salesforce,Account.Id,0.25,True,BUSINESS_BANDS_OR_QUANTILES,Employees,salesforce:Account:NumberOfEmployees,0.85,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=MEASURE | recommended_use=AGGREGATE,NUMERIC_BAND,0.9,True,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Employees,int,Account,,,0.1,,TREND;VARIABILITY,MEASURE,salesforce,0.9,,0.5,PROFILE_INPUT,,,PROFILE / CRM SOURCE,historical_recipe_count=2; signal=0; no_signal=2; examples=# employees | emp to acv ratio; recipe_keys=HIST_SFDC_C0301A7EF44D54ABEF9D;HIST_SFDC_D0C13531046AF2815911 | historical_prior_average=0.45,,,0.85,NumberOfEmployees,Account,PROFILE_INPUT;COHORT_DIMENSION,0.9,False
Account.OCX_Account_ID__c,salesforce,Account.Id,0,True,,OCX Account ID,salesforce:Account:OCX_Account_ID__c,0,Account/source linkage field; not a feature itself. | final_usage=LINKAGE | final_roles=LINKAGE | recommended_use=JOIN_ONLY,,0,False,0.5,,CONTEXT_DEPENDENT,,,ELIGIBLE,,0.1,OCX Account ID,string,Account,,,0.05,,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0,,0,LINKAGE,,,SOURCE LINKAGE,,,,0.95,OCX_Account_ID__c,Account,LINKAGE,0,False
Account.OCX_ACV__c,salesforce,Account.Id,0.25,True,,OCX ACV,salesforce:Account:OCX_ACV__c,0.85,OCX-prefixed field excluded by default; not on explicit source/linkage allowlist. | final_usage=EXCLUDE | final_roles=OUTCOME_OR_DERIVED | recommended_use=NOT_SOURCE_FEATURE,,0.9,False,0.5,,CONTEXTUAL,,,EXCLUDE,,0.6,OCX ACV,currency,Account,,,1,VALUE_COMMERCIAL_GROWTH,MONETARY;TREND;RATIO,MEASURE,salesforce,0.9,,0,OCX_DERIVED,VALUE,,PROFILE / CRM SOURCE,,,,0.85,OCX_ACV__c,Account,OCX_DERIVED;MODEL_OUTPUT,0.9,False
Account.OCX_NPS_Class__c,salesforce,Account.Id,0.05,True,,OCX NPS Class,salesforce:Account:OCX_NPS_Class__c,0,OCX-prefixed field excluded by default; not on explicit source/linkage allowlist. | final_usage=EXCLUDE | final_roles=OUTCOME_OR_DERIVED | recommended_use=NOT_SOURCE_FEATURE,,0,False,0.5,,CONTEXT_DEPENDENT,,,EXCLUDE,,0.05,OCX NPS Class,string,Account,,,1,,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0,,0,OCX_DERIVED,,,OCX DERIVED / DOWNSTREAM,,,,0.95,OCX_NPS_Class__c,Account,OCX_DERIVED;MODEL_OUTPUT,0,False
Account.OCX_Open_Tickets__c,salesforce,Account.Id,0.25,True,,OCX Open Tickets,salesforce:Account:OCX_Open_Tickets__c,0.65,OCX-prefixed field excluded by default; not on explicit source/linkage allowlist. | final_usage=EXCLUDE | final_roles=OUTCOME_OR_DERIVED | recommended_use=NOT_SOURCE_FEATURE,,0.65,False,0.5,,CONTEXTUAL,,,EXCLUDE,,0.6,OCX Open Tickets,double,Account,,,1,,TREND;VARIABILITY,MEASURE,salesforce,0.65,,0,OCX_DERIVED,,,PROFILE / CRM SOURCE,,,,0.85,OCX_Open_Tickets__c,Account,OCX_DERIVED;MODEL_OUTPUT,0.8,False
Account.OCX_Portfolio_Count__c,salesforce,Account.Id,0.05,True,,OCX Portfolio Count,salesforce:Account:OCX_Portfolio_Count__c,0,OCX-prefixed field excluded by default; not on explicit source/linkage allowlist. | final_usage=EXCLUDE | final_roles=OUTCOME_OR_DERIVED | recommended_use=NOT_SOURCE_FEATURE,,0,False,0.5,,CONTEXT_DEPENDENT,,,EXCLUDE,,0.05,OCX Portfolio Count,double,Account,,,1,,TREND;VARIABILITY,MEASURE,salesforce,0,,0,OCX_DERIVED,,,OCX DERIVED / DOWNSTREAM,,,,0.95,OCX_Portfolio_Count__c,Account,OCX_DERIVED;MODEL_OUTPUT,0,False
Account.OCX_Primary_Product__c,salesforce,Account.Id,0.25,True,,OCX Primary Product,salesforce:Account:OCX_Primary_Product__c,0.85,OCX-prefixed field excluded by default; not on explicit source/linkage allowlist. | final_usage=EXCLUDE | final_roles=OUTCOME_OR_DERIVED | recommended_use=NOT_SOURCE_FEATURE,,0.9,False,0.5,,CONTEXTUAL,,,EXCLUDE,,0.6,OCX Primary Product,string,Account,,,1,PRODUCT_FUNCTIONALITY,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.95,,0,OCX_DERIVED,PRODUCT_SERVICE,,PROFILE / CRM SOURCE,,,,0.85,OCX_Primary_Product__c,Account,OCX_DERIVED;MODEL_OUTPUT,0.85,False
Account.OCX_Propensity__c,salesforce,Account.Id,0.05,True,,OCX Propensity,salesforce:Account:OCX_Propensity__c,0,OCX-prefixed field excluded by default; not on explicit source/linkage allowlist. | final_usage=EXCLUDE | final_roles=OUTCOME_OR_DERIVED | recommended_use=NOT_SOURCE_FEATURE,,0,False,0.5,,CONTEXT_DEPENDENT,,,EXCLUDE,,0.05,OCX Propensity,string,Account,,,1,,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0,,0,OCX_DERIVED,,,OCX DERIVED / DOWNSTREAM,,,,0.95,OCX_Propensity__c,Account,OCX_DERIVED;MODEL_OUTPUT,0,False
Account.OCX_Renewal_Quarter__c,salesforce,Account.Id,0.25,True,,OCX Renewal Quarter,salesforce:Account:OCX_Renewal_Quarter__c,0.25,OCX-prefixed field excluded by default; not on explicit source/linkage allowlist. | final_usage=EXCLUDE | final_roles=OUTCOME_OR_DERIVED | recommended_use=NOT_SOURCE_FEATURE,,0.35,False,0.5,,CONTEXTUAL,,,EXCLUDE,,0.6,OCX Renewal Quarter,string,Account,,,1,VALUE_RENEWAL,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.35,,0,OCX_DERIVED,VALUE,,PROFILE / CRM SOURCE,,,,0.85,OCX_Renewal_Quarter__c,Account,OCX_DERIVED;MODEL_OUTPUT,0.7,False
Account.OCX_Revenue_Band__c,salesforce,Account.Id,0.25,True,,OCX Revenue Band,salesforce:Account:OCX_Revenue_Band__c,0.85,OCX-prefixed field excluded by default; not on explicit source/linkage allowlist. | final_usage=EXCLUDE | final_roles=OUTCOME_OR_DERIVED | recommended_use=NOT_SOURCE_FEATURE,,0.9,False,0.5,,CONTEXTUAL,,,EXCLUDE,,0.6,OCX Revenue Band,string,Account,,,1,VALUE_COMMERCIAL_GROWTH,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.9,,0,OCX_DERIVED,VALUE,,PROFILE / CRM SOURCE,,,,0.85,OCX_Revenue_Band__c,Account,OCX_DERIVED;MODEL_OUTPUT,0.9,False
Account.OCX_Survey_Mean_LTR__c,salesforce,Account.Id,0.25,True,,OCX Survey Mean LTR,salesforce:Account:OCX_Survey_Mean_LTR__c,0.65,OCX-prefixed field excluded by default; not on explicit source/linkage allowlist. | final_usage=EXCLUDE | final_roles=OUTCOME_OR_DERIVED | recommended_use=NOT_SOURCE_FEATURE,,0.65,False,0.5,,CONTEXTUAL,,,EXCLUDE,,0.6,OCX Survey Mean LTR,double,Account,,,1,,TREND;VARIABILITY,MEASURE,salesforce,0.65,,0,OCX_DERIVED,,,PROFILE / CRM SOURCE,,,,0.85,OCX_Survey_Mean_LTR__c,Account,OCX_DERIVED;MODEL_OUTPUT,0.8,False
Account.OCX_Survey_NPS_Class__c,salesforce,Account.Id,0.25,True,,OCX Survey NPS Class,salesforce:Account:OCX_Survey_NPS_Class__c,0.25,OCX-prefixed field excluded by default; not on explicit source/linkage allowlist. | final_usage=EXCLUDE | final_roles=OUTCOME_OR_DERIVED | recommended_use=NOT_SOURCE_FEATURE,,0.35,False,0.5,,CONTEXTUAL,,,EXCLUDE,,0.6,OCX Survey NPS Class,string,Account,,,1,,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.35,,0,OCX_DERIVED,,,PROFILE / CRM SOURCE,,,,0.85,OCX_Survey_NPS_Class__c,Account,OCX_DERIVED;MODEL_OUTPUT,0.7,False
Account.OCX_Tenure__c,salesforce,Account.Id,0.25,True,,OCX Tenure,salesforce:Account:OCX_Tenure__c,0.25,OCX-prefixed field excluded by default; not on explicit source/linkage allowlist. | final_usage=EXCLUDE | final_roles=OUTCOME_OR_DERIVED | recommended_use=NOT_SOURCE_FEATURE,,0.35,False,0.5,,CONTEXTUAL,,,EXCLUDE,,0.6,OCX Tenure,string,Account,,,1,PEOPLE_TENURE,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.35,,0,OCX_DERIVED,PEOPLE,,PROFILE / CRM SOURCE,,,,0.85,OCX_Tenure__c,Account,OCX_DERIVED;MODEL_OUTPUT,0.7,False
Account.OperatingHoursId,salesforce,Account.Id,0.25,True,NONE,Operating Hour ID,salesforce:Account:OperatingHoursId,0.1,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=GROUPING;HANDOFF_OR_OWNERSHIP | recommended_use=COUNT_DISTINCT;TRANSITION,NOT_RECOMMENDED,0.1,False,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Operating Hour ID,reference,Account,,,0.1,,COUNT;TRANSITION,RELATIONSHIP,salesforce,0.1,,0.5,PROFILE_INPUT,,,PROFILE / CRM SOURCE,,,,0.85,OperatingHoursId,Account,PROFILE_INPUT,0.5,False
Account.OwnerId,salesforce,Account.Id,0.25,True,NONE,Owner ID,salesforce:Account:OwnerId,0.1,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=GROUPING;HANDOFF_OR_OWNERSHIP;PEOPLE_DIMENSION | recommended_use=COUNT_DISTINCT;TRANSITION,NOT_RECOMMENDED,0.1,False,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Owner ID,reference,Account,,,0.1,PEOPLE_OWNERSHIP,COUNT;TRANSITION,RELATIONSHIP,salesforce,0.1,,0.5,PROFILE_INPUT,PEOPLE,,PROFILE / CRM SOURCE,,,,0.85,OwnerId,Account,PROFILE_INPUT,0.5,False
Account.Ownership,salesforce,Account.Id,0.25,True,DIRECT_CATEGORY_AFTER_PROFILE,Ownership,salesforce:Account:Ownership,0.65,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=GROUPING;FILTER;PEOPLE_DIMENSION | recommended_use=SEGMENT;FILTER,CATEGORICAL,0.7,True,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Ownership,picklist,Account,,,0.1,PEOPLE_OWNERSHIP,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.7,,0.5,PROFILE_INPUT,PEOPLE,,PROFILE / CRM SOURCE,,,,0.85,Ownership,Account,PROFILE_INPUT;COHORT_DIMENSION,0.8,False
Account.ParentId,salesforce,Account.Id,0.25,True,NONE,Parent Account ID,salesforce:Account:ParentId,0.1,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=GROUPING;HANDOFF_OR_OWNERSHIP | recommended_use=COUNT_DISTINCT;TRANSITION,NOT_RECOMMENDED,0.1,False,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Parent Account ID,reference,Account,,,0.1,,COUNT;TRANSITION,RELATIONSHIP,salesforce,0.1,,0.5,PROFILE_INPUT,,,PROFILE / CRM SOURCE,,,,0.85,ParentId,Account,PROFILE_INPUT,0.5,False
Account.Phone,salesforce,Account.Id,0.25,False,NONE,Account Phone,salesforce:Account:Phone,0.05,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=CONTEXT | recommended_use=REVIEW,NOT_RECOMMENDED,0.05,False,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Account Phone,phone,Account,,,0.1,,,CATEGORY_OR_TEXT,salesforce,0.05,,0.5,PROFILE_INPUT,,,PROFILE / CRM SOURCE,,,,0.85,Phone,Account,PROFILE_INPUT,0.5,False
Account.PhotoUrl,salesforce,Account.Id,0.25,False,NONE,Photo URL,salesforce:Account:PhotoUrl,0.1,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=CONTEXT | recommended_use=REVIEW,NOT_RECOMMENDED,0.1,False,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Photo URL,url,Account,,,0.1,,,CATEGORY_OR_TEXT,salesforce,0.1,,0.5,PROFILE_INPUT,,,PROFILE / CRM SOURCE,,,,0.85,PhotoUrl,Account,PROFILE_INPUT,0.5,False
Account.Previous_Account_Owner__c,salesforce,Account.Id,0.25,True,PROFILE_CARDINALITY_BEFORE_USE,Previous Account Owner,salesforce:Account:Previous_Account_Owner__c,0.25,Account-level profile/cohort prior. | final_usage=FORMULA_INPUT | final_roles=GROUPING;FILTER;PEOPLE_DIMENSION | recommended_use=SEGMENT;FILTER,CATEGORICAL_REVIEW,0.35,False,0.5,,CONTEXTUAL,,,ELIGIBLE,,0.6,Previous Account Owner,string,Account,,,0.1,PEOPLE_OWNERSHIP,STATE_SHARE;BREADTH,CATEGORY_OR_TEXT,salesforce,0.35,,0.5,PROFILE_INPUT,PEOPLE,,PROFILE / CRM SOURCE,,,,0.85,Previous_Account_Owner__c,Account,PROFILE_INPUT,0.7,False
